Open,Close,High,Low,Volume,Date
2470,2447.5,2492.5,2399.5,,01/06/21
2381.5,2465.5,2510.5,2373.5,,01/05/21
2466.5,2382,2489.5,2364,,01/04/21
2456.5,2467,2467,2456.5,,01/03/21
2371,2451,2460,2367.5,,12/31/20
2343,2369.5,2385.5,2339,,12/30/20
2354.5,2346,2376.5,2326.5,,12/29/20
2349.5,2346.5,2475,2342,,12/28/20
2348,2348,2348,2348,,12/27/20
2334.5,2348,2354,2322,,12/24/20
2321.5,2337.5,2348,2318,,12/23/20
2323,2318.5,2357.5,2311,,12/22/20
2362.5,2319,2401,2302,,12/21/20
2364.5,2364.5,2364.5,2364.5,,12/20/20
2341,2364.5,2393,2331.5,,12/18/20
2336.5,2344.5,2362.5,2327,,12/17/20
2321.5,2337,2351,2315,,12/16/20
2307,2321,2365.5,2304,,12/15/20
2334.5,2309,2338.5,2302,,12/14/20
2322,2323,2323,2322,,12/13/20
2345.5,2322,2368,2319,,12/11/20
2269.5,2344,2379.5,2268.5,,12/10/20
2322.5,2273.5,2328,2265,,12/09/20
2351.5,2324,2355.5,2301.5,,12/08/20
2380,2340,2383,2321,,12/07/20
2352,2352,2352,2352,,12/06/20
2315.5,2352,2389,2315.5,,12/04/20
2408.5,2318,2422.5,2244,,12/03/20
2414.5,2409.5,2432,2387,,12/02/20
2377,2417.5,2436,2373,,12/01/20
2432,2376,2432,2365,,11/30/20
2427.5,2427.5,2427.5,2427.5,,11/28/20
2393.5,2427.5,2431.5,2348,,11/27/20
2340,2396.5,2398.5,2339.5,,11/26/20
2349.5,2342,2355,2328,,11/25/20
2352.5,2353.5,2364.5,2325.5,,11/24/20
2329.5,2354.5,2363,2325.5,,11/23/20
2329.5,2329.5,2329.5,2329.5,,11/21/20
2322,2329.5,2343.5,2317,,11/20/20
2338,2325.5,2345,2278.5,,11/19/20
2320,2338,2380,2316,,11/18/20
2333,2318.5,2346.5,2311,,11/17/20
2330,2332,2359.5,2305.5,,11/16/20
2328.5,2328.5,2328.5,2328.5,,11/15/20
2341.5,2328.5,2356.5,2317.5,,11/13/20
2318,2341.5,2367,2314.5,,11/12/20
2463,2317.5,2472.5,2306.5,,11/11/20
2489,2463.5,2497,2453,,11/10/20
2495.5,2488,2516.5,2433,,11/09/20
2495,2495,2495,2495,,11/08/20
2374,2495,2507,2370,,11/06/20
2292.5,2378.5,2431.5,2281.5,,11/05/20
2294.5,2294.5,2322,2235.5,,11/04/20
2223,2298.5,2303.5,2223,,11/03/20
2222.5,2221,2269.5,2197,,11/02/20
2214.5,2214.5,2214.5,2214.5,,11/01/20
2214.5,2214.5,2214.5,2214.5,,10/31/20
2208,2214.5,2248.5,2187,,10/30/20
2246,2203,2282.5,2188,,10/29/20
2334,2247,2359.5,2216,,10/28/20
2364,2335,2385,2321.5,,10/27/20
2375.5,2365.5,2390.5,2357,,10/26/20
2395.5,2379,2395.5,2375.5,,10/25/20
2385.5,2395.5,2401.5,2368.5,,10/23/20
2410.5,2382,2417,2355,,10/22/20
2410,2414,2419,2395.5,,10/21/20
2348,2409,2417,2343.5,,10/20/20
2332,2347,2355.5,2332,,10/19/20
2333,2333,2333,2333,,10/18/20
2360.5,2333,2364,2324,,10/16/20
2353.5,2359,2364,2325.5,,10/15/20
2319,2349.5,2372,2315.5,,10/14/20
2408.5,2322,2427.5,2308.5,,10/13/20
2445,2409,2462.5,2396.5,,10/12/20
2442,2442,2442,2442,,10/11/20
2383.5,2442,2474.5,2381.5,,10/09/20
2356,2380.5,2416,2354,,10/08/20
2357.5,2361,2381.5,2348,,10/07/20
2367.5,2359.5,2388.5,2338.5,,10/06/20
2311,2372,2375,2297,,10/05/20
2305,2305,2305,2305,,10/04/20
2323.5,2305,2334,2296,,10/02/20
2312.5,2326,2344,2311.5,,10/01/20
2317.5,2307.5,2352.5,2300.5,,09/30/20
2267,2319.5,2329,2253.5,,09/29/20
2230,2265.5,2282,2212,,09/28/20
2218.5,2218.5,2218.5,2218.5,,09/27/20
2236,2218.5,2240,2193.5,,09/25/20
2234,2235.5,2247,2190.5,,09/24/20
2200,2233,2292.5,2185,,09/23/20
2288.5,2228,2309,2222.5,,09/22/20
2366.5,2282,2402.5,2250,,09/21/20
2370,2370,2370,2370,,09/20/20
2338.5,2370,2377,2317.5,,09/18/20
2407,2338.5,2409.5,2306.5,,09/17/20
